Sega,Episode Titles,Episode air date,HH,Rank,Viewership
Cells Games,"""A Final Battle Closes In on Goku!! The Mystery of the New Tenkaichi Tournament"" / ""What is the Tournament?""",November 9 2000,N/A,N/A,N/A
Cells Games,"""100% Ratings!! The Cell Games Call Forth Death with an Exclusive Live Broadcast"" / ""The Doomsday Broadcast""",November 13 2000,N/A,N/A,N/A
Cells Games,"""Goku and Gohan... The Hero Father and Son's Ultimate Level-Up"" / ""Meet Me in the Ring""",November 14 2000,N/A,N/A,N/A
Cells Games,"""Goku's Composure!? Let's Rest and Wait for the Cell Games"" / ""No Worries Here""",November 15 2000,N/A,N/A,N/A
Cells Games,"""A Warrior's Rest... The Girl, the Lies, and Gohan's Resolution"" / ""A Girl Named Lime""",November 16 2000,N/A,N/A,N/A
Cells Games,"""Hidden Power!! When Gohan Was a Baby"" / ""Memories of Gohan""",November 20 2000,N/A,N/A,N/A
Cells Games,"""Seek Out Kami-sama!! Goku's Great Instantaneous Movement"" / ""A New Guardian""",November 21 2000,N/A,N/A,N/A
Cells Games,"""Dende's First Task!! The Dragon Balls Restored"" / ""Dende's Dragon""",November 22 2000,N/A,N/A,N/A
Cells Games,"""A Hard Problem for Goku!? Take Back the Dragon Balls"" / ""The Puzzle of General Tao""",November 23 2000,N/A,N/A,N/A
Cells Games,"""Those Who Would Challenge Cell!! The Curtain Rises on the Battle"" / ""The Games Begin""",November 27 2000,N/A,N/A,N/A
Cells Games,"""Just a Moment!! The Satan Squad Goes On the Rampage"" / ""Losers Fight First""",November 28 2000,N/A,N/A,N/A
Cells Games,"""Fight Time, Goku!! The Ultra-Tense Cell Games"" / ""Goku vs. Cell""",November 29 2000,N/A,N/A,N/A
Cells Games,"""Direct Hit to Earth!! Cell's Extra-Large Kamehame-Ha"" / ""Cell's Bag of Tricks""",November 30 2000,N/A,N/A,N/A
Cells Games,"""Defeat or Death!? Goku's Turnabout Ploy"" / ""No More Rules""",December 4 2000,"2,130,000",17,N/A
Cells Games,"""A Conclusion to the Deathmatch!! Goku's Declaration of Surrender!?"" / ""The Fight is Over""",December 5 2000,N/A,N/A,N/A
Cells Games,"""He Who Takes Over as Strongest... His Name is Gohan"" / ""Faith in a Boy""",December 6 2000,"2,124,000",17,N/A
Cells Games,"""Become Enraged, Gohan â€” Call Forth Your Dormant Power"" / ""Gohan's Desperate Plea""",December 7 2000,N/A,N/A,N/A
Cells Games,"""Teeny Menaces!! Attack of the Cell Juniors"" / ""Android Explosion""",December 11 2000,N/A,N/A,N/A
Cells Games,"""The Tragic No. 16!! An Enraged Super Gohan Begins Taking Action"" / ""Cell Juniors Attack!""",December 12 2000,N/A,N/A,N/A
Cells Games,"""Devastating True Power!! The Cell Juniors Pulverized"" / ""The Unleashing"" and ""Awakening""",December 13 2000,N/A,N/A,N/A
Cells Games,"""Cell Gets KO'ed!! Just Two Super Ironfisted Blows"" / ""The Unstoppable Gohan""",December 14 2000,N/A,N/A,N/A
Cells Games,"""Something Amiss With Cell!! His Perfect Form Crumbles"" / ""Cell's Mighty Breakdown""",December 18 2000,"1,889,000",19,N/A
Cells Games,"""Bye-Bye, Everyone!! Goku's Last Instantaneous Movement"" / ""A Hero's Farewell""",December 19 2000,"2,034,000",9,N/A
Cells Games,"""A Nightmare in Broad Daylight!! The Terror Becomes Even More Perfect"" / ""Cell Returns!""",December 20 2000,"2,061,000",9,N/A
Cells Games,"""From Goku to Gohan... The Spirit of the Father is Handed Down"" / ""The Horror Won't End""",December 21 2000,"1,985,000",14,N/A
Cells Games,"""The Battle is Over... Thank You, Son Goku"" / ""Save the World""",December 26 2000,N/A,N/A,N/A
Cells Games,"""I'm Going to Train In the Next World!! A Smile at Parting"" / ""Goku's Decision""",December 27 2000,N/A,N/A,N/A
Cells Games,"""New Days... Father! I'm Hanging In There"" / ""One More Wish""",December 28 2000,N/A,N/A,N/A
Cells Games,"""One More Conclusion!! I Will Defend the Future"" / ""Free the Future""",December 29 2000,N/A,N/A,N/A